#------------------------------------------------------------------------
# Program: Diag Quadratic
#          (c) Amal Medhi <amedhi@iisertvm.ac.in>
#------------------------------------------------------------------------
# job_71850_diag.x_20260122170032_amedhi@isha.local
# Lattice: HONEYCOMB2 (Size = 1x100x1, Sites/unitcell = 100, Boundary = 0-1-0)
# No of sites = 10000
# Model: MKM
# lambda = 0.060000
# eta = 0.250000
# lambda_R = 0.000000
# t = 1.000000
# Results: WaveFunction
#------------------------------------------------------------------------
# wf_0:   psi(40,98,0)        cols: (6,7)
# wf_1:   psi(40,99,0)        cols: (8,9)
# wf_2:   psi(40,100,0)       cols: (10,11)
# wf_3:   psi(40,101,0)       cols: (12,13)
# wf_4:   psi(49,98,0)        cols: (14,15)
# wf_5:   psi(49,99,0)        cols: (16,17)
# wf_6:   psi(49,100,0)       cols: (18,19)
# wf_7:   psi(49,101,0)       cols: (20,21)
#------------------------------------------------------------------------
# basis   label   xcoord        ycoord        zcoord        Re[wf_1]      Im[wf_1]      Re[wf_2]      Im[wf_2]      Re[wf_3]      Im[wf_3]      Re[wf_4]      Im[wf_4]      Re[wf_5]      Im[wf_5]      Re[wf_6]      Im[wf_6]      Re[wf_7]      Im[wf_7]      Re[wf_8]      Im[wf_8]      
#------------------------------------------------------------------------
       0     0-0  0.000000E+00  0.000000E+00  0.000000E+00  1.665227E-02  0.000000E+00  7.049149E-16  0.000000E+00  1.110837E-02  0.000000E+00 -1.333702E-15  0.000000E+00 -1.108488E-15  0.000000E+00  1.489420E-02  0.000000E+00  1.420533E-02  0.000000E+00 -8.274631E-16  0.000000E+00
       1     0-1  0.000000E+00  0.000000E+00  0.000000E+00  2.492343E-16  1.567669E-16 -4.115024E-03 -1.031807E-02  1.202776E-15 -3.929183E-17 -1.665225E-02 -2.481781E-05  1.409487E-02 -1.768039E-03  7.528030E-16 -2.330397E-16  8.024075E-16  7.551709E-16  1.247337E-02  8.139533E-03
       2     1-0  8.660254E-01 -5.000000E-01  0.000000E+00 -3.901329E-03  8.930844E-03 -2.651910E-16  3.933504E-16  8.457865E-03 -5.356826E-03 -1.009157E-15  6.235676E-16  7.788908E-16 -2.827599E-16 -9.134531E-03  4.420770E-03  9.807894E-03  2.696196E-03 -7.025630E-16 -6.938894E-17
       3     1-1  8.660254E-01 -5.000000E-01  0.000000E+00 -2.355391E-16  4.364354E-17  8.108875E-03  5.871730E-03  4.120627E-16 -6.701595E-16 -3.914634E-03  8.925019E-03 -1.006721E-02 -1.454511E-03 -5.102010E-16  2.102242E-16  6.087992E-16  1.073466E-16  1.006576E-02  1.289690E-03
       4     2-0  8.660254E-01 -1.500000E+00  0.000000E+00  1.941671E-02 -1.678166E-02  7.229366E-16 -6.599742E-16  1.486321E-02 -1.030944E-02 -1.979687E-15  1.327335E-15 -1.450229E-15  2.012279E-16  2.271140E-02 -2.817116E-03  2.195695E-02 -1.154021E-04 -6.800116E-16 -4.984619E-17
       5     2-1  8.660254E-01 -1.500000E+00  0.000000E+00  4.098486E-16 -5.387897E-16 -1.508195E-02 -9.986701E-03  1.235114E-15 -9.318068E-16 -1.944170E-02  1.675271E-02  2.177186E-02 -2.847335E-03  1.201215E-15 -4.818305E-16  1.793061E-15  1.042152E-15  2.055954E-02  1.005232E-02
       6     3-0  1.732051E+00 -2.000000E+00  0.000000E+00  2.954277E-03  1.651981E-02  7.498427E-17  6.488798E-16  4.938182E-03 -1.871629E-02 -6.223945E-16  2.465552E-15  1.252470E-15 -3.677614E-16 -1.662941E-02  7.281767E-03  1.837481E-02  1.828371E-03 -6.591949E-16 -6.722053E-17
       7     3-1  1.732051E+00 -2.000000E+00  0.000000E+00 -1.378053E-16  7.415346E-16  1.921404E-02 -2.346472E-03 -1.150426E-17 -1.046161E-15  2.929654E-03  1.652419E-02 -1.845950E-02  4.728322E-04 -1.026974E-15  2.563144E-16  1.568325E-15  3.492031E-16  1.790597E-02  2.989581E-03
       8     4-0  1.732051E+00 -3.000000E+00  0.000000E+00  6.478518E-03 -3.428886E-02  2.409291E-16 -1.192768E-15  8.309200E-03 -2.384956E-02 -1.088247E-15  2.941449E-15 -1.190020E-15  3.556183E-16  3.057913E-02 -6.551101E-03  3.006382E-02 -1.334983E-03 -1.047773E-15  5.464379E-17
       9     4-1  1.732051E+00 -3.000000E+00  0.000000E+00 -6.327051E-17 -8.575233E-16 -2.523087E-02  1.116869E-03  4.368048E-16 -1.805029E-15 -6.529614E-03  3.427917E-02  2.966390E-02 -5.066439E-03  1.371323E-15 -7.894543E-16  2.391419E-15  1.166841E-15  2.918908E-02  1.122488E-02
