#------------------------------------------------------------------------
# Program: Diag Quadratic
#          (c) Amal Medhi <amedhi@iisertvm.ac.in>
#------------------------------------------------------------------------
# job_72369_diag.x_20260122172749_amedhi@isha.local
# Lattice: HONEYCOMB2 (Size = 1x100x1, Sites/unitcell = 100, Boundary = 0-1-0)
# No of sites = 10000
# Model: MKM
# lambda = 0.060000
# eta = 0.600000
# lambda_R = 0.360000
# t = 1.000000
# Results: WaveFunction
#------------------------------------------------------------------------
# wf_0:   psi(40,98,0)        cols: (6,7)
# wf_1:   psi(40,99,0)        cols: (8,9)
# wf_2:   psi(40,100,0)       cols: (10,11)
# wf_3:   psi(40,101,0)       cols: (12,13)
# wf_4:   psi(49,98,0)        cols: (14,15)
# wf_5:   psi(49,99,0)        cols: (16,17)
# wf_6:   psi(49,100,0)       cols: (18,19)
# wf_7:   psi(49,101,0)       cols: (20,21)
#------------------------------------------------------------------------
# basis   label   xcoord        ycoord        zcoord        Re[wf_1]      Im[wf_1]      Re[wf_2]      Im[wf_2]      Re[wf_3]      Im[wf_3]      Re[wf_4]      Im[wf_4]      Re[wf_5]      Im[wf_5]      Re[wf_6]      Im[wf_6]      Re[wf_7]      Im[wf_7]      Re[wf_8]      Im[wf_8]      
#------------------------------------------------------------------------
       0     0-0  0.000000E+00  0.000000E+00  0.000000E+00  5.512966E-02  0.000000E+00  2.307026E-02  0.000000E+00 -9.273244E-03  0.000000E+00  1.580664E-02 -0.000000E+00 -3.827618E-02  0.000000E+00 -1.226262E-01 -0.000000E+00  1.220271E-01  0.000000E+00  1.161322E-01 -0.000000E+00
       1     0-1  0.000000E+00  0.000000E+00  0.000000E+00 -1.118153E-01 -7.949473E-02 -4.539254E-02 -6.899668E-02  1.155321E-02  3.859147E-02 -1.498737E-02  3.233018E-03 -6.647140E-02  4.018843E-03  7.738785E-02 -1.105351E-02 -7.647637E-02  1.339757E-02 -7.318495E-02  1.435575E-02
       2     1-0  8.660254E-01 -5.000000E-01  0.000000E+00  2.069875E-02 -2.129716E-02  1.474699E-02 -1.068799E-02 -7.900744E-03  3.760087E-03  9.038566E-03 -4.108096E-04  7.982542E-04 -5.697973E-03  1.385334E-03 -2.070304E-02  1.813577E-03  2.426411E-02  5.325258E-03  2.702705E-02
       3     1-1  8.660254E-01 -5.000000E-01  0.000000E+00  1.154572E-02  2.060725E-02  3.203373E-03  1.587942E-02  4.929101E-04 -8.263002E-03 -5.839435E-03  2.976986E-03  5.621592E-03  1.008920E-02 -5.837137E-04 -3.833689E-03 -4.816213E-03 -2.830290E-04 -1.057840E-02 -4.466929E-03
       4     2-0  8.660254E-01 -1.500000E+00  0.000000E+00  3.363009E-02  3.628507E-02  4.574965E-03  2.449144E-02  2.836798E-03 -1.108617E-02  8.684906E-03  7.281918E-04 -2.018608E-02  3.710265E-02 -6.319921E-02 -1.035558E-01  6.381936E-02  1.013485E-01  6.036631E-02  9.453219E-02
       5     2-1  8.660254E-01 -1.500000E+00  0.000000E+00 -1.392389E-01  3.826116E-02 -9.365840E-02  6.453585E-03  4.700265E-02  6.570535E-03 -8.516610E-03  2.468288E-03 -2.272205E-02  6.622827E-02  5.358330E-02  5.963963E-02 -5.452486E-02 -5.872097E-02 -5.381466E-02 -5.478080E-02
       6     3-0  1.732051E+00 -2.000000E+00  0.000000E+00 -4.312956E-02 -4.525373E-02 -2.015772E-02 -3.468590E-02  6.038823E-03  1.876106E-02  1.301438E-02 -3.254876E-03 -7.364713E-03 -9.840209E-03  1.825360E-02 -4.896894E-03 -2.022206E-02  1.437928E-02 -2.101198E-02  2.367209E-02
       7     3-1  1.732051E+00 -2.000000E+00  0.000000E+00  2.506120E-02 -1.097487E-02  2.009067E-02 -1.852089E-03 -1.053684E-02 -1.812741E-03 -1.300798E-02  4.374444E-03  1.059470E-02 -2.651316E-03  3.542227E-03 -5.603618E-03 -2.756388E-03 -8.092051E-03 -2.000226E-03 -2.244546E-02
       8     4-0  1.732051E+00 -3.000000E+00  0.000000E+00  6.214453E-02  2.344012E-02  3.215865E-02  2.604874E-02 -1.198967E-02 -1.684845E-02  2.001881E-03  5.744381E-04  2.606639E-02  3.182892E-02  5.169365E-02 -1.102812E-01 -4.917519E-02  1.077168E-01 -4.408076E-02  9.854266E-02
       9     4-1  1.732051E+00 -3.000000E+00  0.000000E+00  1.510837E-02  9.199141E-02  2.763480E-03  7.462420E-02  6.224822E-03 -4.077211E-02 -1.490526E-03  2.616823E-03  5.444292E-02  5.420835E-02 -2.215267E-02  7.398140E-02  1.886131E-02 -7.730118E-02  1.418495E-02 -7.479522E-02
      10     5-0  2.598076E+00 -3.500000E+00  0.000000E+00 -6.778448E-02  4.725349E-02 -5.099237E-02  2.031201E-02  2.704433E-02 -4.470975E-03  1.881582E-02 -3.093846E-03 -1.664374E-02  2.402287E-03  1.404097E-02  1.393993E-02 -2.668731E-02 -8.740366E-03 -3.860316E-02 -2.380202E-03
      11     5-1  2.598076E+00 -3.500000E+00  0.000000E+00 -1.458987E-02 -2.067164E-02 -4.771927E-03 -1.850090E-02 -3.299947E-04  1.027894E-02 -1.986258E-02  6.524546E-03 -1.634104E-03 -1.034114E-02  1.090405E-02 -1.395342E-03  6.972743E-03 -8.439826E-03  2.546125E-02 -1.935242E-02
      12     6-0  2.598076E+00 -4.500000E+00  0.000000E+00  3.391966E-02 -2.338921E-02  2.757260E-02 -1.446031E-02 -1.647076E-02  4.901311E-03 -5.072972E-03  5.436805E-04  4.379425E-02 -1.367849E-02  1.189104E-01 -1.672952E-02 -1.160011E-01  1.742468E-02 -1.025121E-01  1.630819E-02
      13     6-1  2.598076E+00 -4.500000E+00  0.000000E+00  7.946453E-02 -6.184188E-02  7.993243E-02 -2.871567E-02 -4.767602E-02  4.519207E-03  5.402836E-03  2.301661E-03  7.506204E-02 -2.560535E-02 -7.627650E-02  2.068089E-02  7.471330E-02 -2.688551E-02  6.768173E-02 -3.032317E-02
      14     7-0  3.464102E+00 -5.000000E+00  0.000000E+00  5.147114E-02  7.597686E-02  2.330291E-02  5.950978E-02 -5.231036E-03 -3.217322E-02  2.655525E-02 -4.090020E-03 -6.298374E-03  2.229379E-02 -4.409917E-03  1.580050E-02 -1.011136E-02 -2.685372E-02 -2.580658E-02 -3.546952E-02
      15     7-1  3.464102E+00 -5.000000E+00  0.000000E+00 -1.863246E-02  2.303666E-02 -1.948444E-02  1.135927E-02  1.184640E-02 -2.894212E-03 -2.589642E-02  8.140513E-03 -1.213608E-02 -7.176205E-04  1.120320E-02  9.470108E-03  1.309276E-02  3.537056E-03  3.849349E-02  1.588328E-02
      16     8-0  3.464102E+00 -6.000000E+00  0.000000E+00 -1.776918E-02 -3.288205E-04 -1.755749E-02 -1.148742E-02  8.275902E-03  1.050571E-02 -1.182001E-02  5.079826E-04  9.134278E-03 -4.664821E-02  7.792336E-02  9.130033E-02 -7.757219E-02 -8.661151E-02 -6.687090E-02 -7.254238E-02
      17     8-1  3.464102E+00 -6.000000E+00  0.000000E+00 -7.863193E-02 -1.126341E-01 -3.595669E-02 -1.039910E-01  5.897438E-03  6.116887E-02  1.175089E-02  2.369434E-03  6.849736E-03 -8.301328E-02 -5.939160E-02 -5.024063E-02  6.350710E-02  4.697134E-02  6.143932E-02  3.750933E-02
      18     9-0  4.330127E+00 -6.500000E+00  0.000000E+00  8.225665E-02 -6.322016E-02  6.875952E-02 -3.155892E-02 -3.852776E-02  8.567767E-03  3.305619E-02 -6.297628E-03  2.102827E-02  2.052963E-02 -1.639527E-02  1.279508E-04  1.752547E-02 -2.363001E-02  1.517568E-02 -4.540247E-02
      19     9-1  4.330127E+00 -6.500000E+00  0.000000E+00  2.831860E-02  1.940660E-02  1.562286E-02  2.246907E-02 -4.763366E-03 -1.438290E-02 -3.210746E-02  8.854801E-03 -3.958511E-03  1.226782E-02 -1.853254E-03  1.718088E-02  4.983127E-03  1.685217E-02  9.566495E-03  5.132513E-02
      20    10-0  4.330127E+00 -7.500000E+00  0.000000E+00  8.257591E-03  4.074424E-02 -1.044444E-02  3.195882E-02  1.199695E-02 -1.528601E-02 -1.831052E-02 -3.913251E-05 -3.883519E-02 -2.526637E-02 -3.306759E-02  1.154665E-01  2.950714E-02 -1.108577E-01  2.232388E-02 -8.930348E-02
      21    10-1  4.330127E+00 -7.500000E+00  0.000000E+00 -1.209915E-01  6.011338E-02 -1.124568E-01  2.951503E-02  6.717068E-02 -3.079220E-03  1.816013E-02  3.086879E-03 -7.679859E-02 -4.563625E-02  1.166992E-02 -7.385950E-02 -4.060486E-03  7.829384E-02  4.327969E-03  6.945777E-02
      22    11-0  5.196152E+00 -8.000000E+00  0.000000E+00 -7.289527E-02 -9.159845E-02 -3.866959E-02 -8.017903E-02  1.127274E-02  4.613713E-02  3.836004E-02 -7.255601E-03  3.188471E-02 -1.173393E-02 -9.284545E-03 -1.478105E-02  3.247392E-02  6.551881E-04  5.173653E-02 -1.570017E-02
      23    11-1  5.196152E+00 -8.000000E+00  0.000000E+00  1.757452E-02 -3.019921E-02  2.325013E-02 -1.803757E-02 -1.568441E-02  5.951862E-03 -3.870055E-02  9.489770E-03  1.283564E-02  7.923350E-03 -1.946412E-02  9.818731E-03 -1.293220E-02  1.527369E-02 -4.366082E-02  4.223959E-02
      24    12-0  5.196152E+00 -9.000000E+00  0.000000E+00  4.382849E-02  3.292794E-03  3.461064E-02  1.690343E-02 -1.671103E-02 -1.570873E-02 -2.490226E-02 -9.879878E-04 -4.232242E-02  2.855051E-02 -1.128089E-01  3.471398E-02  1.077546E-01 -3.540843E-02  8.080413E-02 -2.785402E-02
      25    12-1  5.196152E+00 -9.000000E+00  0.000000E+00  5.582852E-02  1.030228E-01  3.347365E-02  1.098398E-01 -5.997265E-03 -6.973263E-02  2.478132E-02  3.935980E-03 -7.600431E-02  5.001489E-02  7.043041E-02 -2.984638E-02 -6.717902E-02  3.969008E-02 -5.159149E-02  4.133050E-02
      26    13-0  6.062178E+00 -9.500000E+00  0.000000E+00 -9.726405E-02  7.672011E-02 -8.913327E-02  4.351192E-02  5.266277E-02 -1.335279E-02  4.434835E-02 -7.121076E-03  3.065014E-03 -4.015179E-02  8.334883E-03 -1.219081E-02  1.968365E-02  2.695829E-02  4.733087E-02  3.456017E-02
      27    13-1  6.062178E+00 -9.500000E+00  0.000000E+00 -3.242030E-02 -1.336672E-02 -2.149945E-02 -2.233817E-02  8.004262E-03  1.629486E-02 -4.498758E-02  1.020265E-02  1.352035E-02 -1.064386E-02 -2.297555E-02 -1.131208E-02 -2.254161E-02 -4.221859E-03 -6.734620E-02 -1.636798E-02
      28    14-0  6.062178E+00 -1.050000E+01  0.000000E+00  1.172440E-03 -3.190796E-02  1.473840E-02 -3.146383E-02 -1.515989E-02  1.653500E-02 -3.146236E-02 -2.027240E-03  5.255750E-03  5.154064E-02 -8.962669E-02 -7.633627E-02  8.774612E-02  6.980129E-02  6.198405E-02  4.749360E-02
      29    14-1  6.062178E+00 -1.050000E+01  0.000000E+00  9.406159E-02 -6.532663E-02  1.132241E-01 -4.374845E-02 -7.586613E-02  1.142363E-02  3.117207E-02  4.784099E-03  1.577679E-02  9.331948E-02  6.316952E-02  4.007743E-02 -6.978220E-02 -3.365275E-02 -5.978169E-02 -1.763180E-02
      30    15-0  6.928203E+00 -1.100000E+01  0.000000E+00  7.912782E-02  9.703534E-02  4.915572E-02  9.495171E-02 -1.643119E-02 -5.814415E-02  5.079008E-02 -7.386925E-03 -3.924541E-02 -2.375225E-02  1.635645E-02  4.931008E-03 -1.216860E-02  3.203404E-02 -1.544712E-03  6.166758E-02
      31    15-1  6.928203E+00 -1.100000E+01  0.000000E+00 -9.664990E-03  3.469224E-02 -2.185330E-02  2.549248E-02  1.731461E-02 -1.046731E-02 -5.083689E-02  1.048220E-02 -6.496938E-03 -1.800142E-02 -3.334927E-03 -2.796170E-02 -1.017812E-02 -2.473939E-02 -2.644034E-02 -7.367263E-02
      32    16-0  6.928203E+00 -1.200000E+01  0.000000E+00 -2.883113E-02  1.005113E-02 -3.382769E-02 -8.714917E-03  1.929659E-02  1.339650E-02 -3.772263E-02 -3.234260E-03  4.862014E-02  1.391304E-02  1.398248E-02 -1.165674E-01 -1.015981E-02  1.099097E-01 -5.229794E-03  6.931194E-02
      33    16-1  6.928203E+00 -1.200000E+01  0.000000E+00 -6.372775E-02 -9.324787E-02 -4.806921E-02 -1.193295E-01  1.434113E-02  8.304965E-02  3.721664E-02  5.944566E-03  9.567288E-02  2.825578E-02 -1.738363E-03  7.170837E-02 -1.044153E-02 -7.609367E-02 -1.897117E-02 -5.523658E-02
      34    17-0  7.794229E+00 -1.250000E+01  0.000000E+00  9.442702E-02 -8.127435E-02  9.988037E-02 -5.574891E-02 -6.372658E-02  2.037770E-02  5.649703E-02 -7.847062E-03 -4.181876E-02  2.814971E-02  5.207206E-03  1.724873E-02 -3.599168E-02  8.981410E-03 -5.563205E-02  3.634907E-02
      35    17-1  7.794229E+00 -1.250000E+01  0.000000E+00  3.502929E-02  6.430969E-03  2.845773E-02  2.145105E-02 -1.253989E-02 -1.839535E-02 -5.661960E-02  1.027967E-02 -2.197839E-02 -5.505244E-04  2.530134E-02 -2.067343E-02  1.648133E-02 -2.413163E-02  5.089535E-02 -6.836473E-02
      36    18-0  7.794229E+00 -1.350000E+01  0.000000E+00  1.355478E-02  3.092534E-02 -6.858972E-03  3.800319E-02  1.361812E-02 -2.267194E-02 -4.372651E-02 -4.775124E-03  3.518232E-02 -4.238524E-02  1.031562E-01 -5.077173E-02 -9.630762E-02  5.083402E-02 -5.362421E-02  2.907206E-02
      37    18-1  7.794229E+00 -1.350000E+01  0.000000E+00 -8.354476E-02  5.248148E-02 -1.196197E-01  4.891418E-02  8.772773E-02 -1.663113E-02  4.313752E-02  7.456772E-03  6.743323E-02 -7.461047E-02 -6.308378E-02  3.741516E-02  5.718606E-02 -5.040887E-02  3.097405E-02 -4.384136E-02
      38    19-0  8.660254E+00 -1.400000E+01  0.000000E+00 -8.051428E-02 -9.054192E-02 -6.145887E-02 -1.040402E-01  2.431093E-02  6.927159E-02  6.164727E-02 -7.616633E-03  8.751053E-03  5.578057E-02 -1.328369E-02  1.016864E-02 -2.933743E-02 -2.439071E-02 -6.512613E-02 -2.488468E-02
      39    19-1  8.660254E+00 -1.400000E+01  0.000000E+00  2.495696E-03 -3.360874E-02  2.011677E-02 -3.063358E-02 -1.897812E-02  1.447206E-02 -6.232924E-02  9.922434E-03 -9.559186E-03  2.183148E-02  3.513127E-02  9.558506E-03  3.219092E-02  1.714010E-03  9.176641E-02  6.177089E-03
      40    20-0  8.660254E+00 -1.500000E+01  0.000000E+00  2.668082E-02 -1.229486E-02  3.838450E-02  6.417048E-03 -2.440609E-02 -1.408802E-02 -4.957764E-02 -6.567864E-03 -2.096944E-02 -5.078638E-02  9.775644E-02  5.947558E-02 -9.400937E-02 -5.181991E-02 -4.571220E-02 -2.464951E-02
      41    20-1  8.660254E+00 -1.500000E+01  0.000000E+00  4.385322E-02  6.692651E-02  5.214174E-02  1.162332E-01 -2.073877E-02 -9.133696E-02  4.893327E-02  9.105365E-03 -4.215510E-02 -9.486239E-02 -6.472738E-02 -2.971441E-02  7.298578E-02  1.950324E-02  4.865185E-02 -4.915523E-04
      42    21-0  9.526279E+00 -1.550000E+01  0.000000E+00 -8.390755E-02  7.616059E-02 -1.062299E-01  6.604346E-02  7.413955E-02 -2.829080E-02  6.689825E-02 -6.905091E-03  5.854917E-02  1.816445E-02 -1.815383E-02 -9.794398E-03  4.447285E-03 -3.891360E-02 -1.671402E-02 -6.949590E-02
      43    21-1  9.526279E+00 -1.550000E+01  0.000000E+00 -3.139916E-02  1.780750E-03 -3.270284E-02 -1.813904E-02  1.663894E-02  1.926695E-02 -6.768383E-02  9.430113E-03  1.887537E-02  1.860687E-02  1.170676E-02  3.705355E-02  1.804517E-02  3.098102E-02  4.883933E-02  8.584217E-02
      44    22-0  9.526279E+00 -1.650000E+01  0.000000E+00 -1.425419E-02 -1.876745E-02  3.560442E-03 -3.711040E-02 -1.324813E-02  2.579277E-02 -5.518711E-02 -8.492068E-03 -5.373312E-02  7.185043E-04  4.585471E-03  1.136082E-01 -7.958087E-03 -1.051138E-01 -3.105094E-03 -4.186334E-02
      45    22-1  9.526279E+00 -1.650000E+01  0.000000E+00  5.244999E-02 -3.655173E-02  1.134572E-01 -5.594902E-02 -9.559570E-02  2.550527E-02  5.441544E-02  1.085861E-02 -1.077819E-01 -3.989352E-03 -7.195759E-03 -6.773656E-02  2.391773E-02  7.087496E-02  2.633087E-02  3.477466E-02
      46    23-0  1.039230E+01 -1.700000E+01  0.000000E+00  6.944128E-02  7.451801E-02  7.018846E-02  1.064451E-01 -3.271275E-02 -7.838619E-02  7.203790E-02 -6.254525E-03  4.388771E-02 -4.892199E-02 -2.216075E-03 -2.110325E-02  3.689670E-02 -1.956734E-02  4.998836E-02 -5.525036E-02
      47    23-1  1.039230E+01 -1.700000E+01  0.000000E+00  5.558182E-03  2.831849E-02 -1.609119E-02  3.442362E-02  1.953785E-02 -1.886492E-02 -7.265568E-02  8.620673E-03  2.719755E-02 -1.052766E-02 -2.786331E-02  3.318896E-02 -1.712748E-02  3.430148E-02 -4.665899E-02  9.248205E-02
      48    24-0  1.039230E+01 -1.800000E+01  0.000000E+00 -1.301859E-02  1.734030E-02 -3.689393E-02  5.174524E-07  2.790709E-02  1.208811E-02 -6.044698E-02 -1.057818E-02 -2.316571E-02  5.302655E-02 -9.052620E-02  6.413239E-02  8.237793E-02 -6.308896E-02  2.612636E-02 -1.882570E-02
