#------------------------------------------------------------------------
# Program: Diag Quadratic
#          (c) Amal Medhi <amedhi@iisertvm.ac.in>
#------------------------------------------------------------------------
# job_79244_diag.x_20260313113946_amedhi@isha-2.local
# Lattice: HONEYCOMB2 (Size = 50x50x1, Sites/unitcell = 2, Boundary = 1-1-0)
# No of sites = 5000
# Model: MKM
# lambda = 0.060000
# eta = 0.100000
# lambda_R = 0.000000
# t = 1.000000
# Results: BandStruct
#------------------------------------------------------------------------
# bands: {spin=UP, n=[0:3], cols=[5:8]}
#------------------------------------------------------------------------
# k     kx            ky            kz            ek_0_0        ek_1_0        ek_2_0        ek_3_0        
#------------------------------------------------------------------------
     0 -1.813799E+00 -1.047198E+00  0.000000E+00 -1.000000E+00 -1.000000E+00  1.000000E+00  1.000000E+00
     1 -1.741247E+00 -1.089085E+00  0.000000E+00 -9.997427E-01 -9.997427E-01  9.997427E-01  9.997427E-01
     2 -1.668695E+00 -1.130973E+00  0.000000E+00 -9.989531E-01 -9.989531E-01  9.989531E-01  9.989531E-01
     3 -1.596143E+00 -1.172861E+00  0.000000E+00 -9.975798E-01 -9.975798E-01  9.975798E-01  9.975798E-01
     4 -1.523591E+00 -1.214749E+00  0.000000E+00 -9.955418E-01 -9.955418E-01  9.955418E-01  9.955418E-01
     5 -1.451039E+00 -1.256637E+00  0.000000E+00 -9.927353E-01 -9.927353E-01  9.927353E-01  9.927353E-01
     6 -1.378488E+00 -1.298525E+00  0.000000E+00 -9.890430E-01 -9.890430E-01  9.890430E-01  9.890430E-01
     7 -1.305936E+00 -1.340413E+00  0.000000E+00 -9.843439E-01 -9.843439E-01  9.843439E-01  9.843439E-01
     8 -1.233384E+00 -1.382301E+00  0.000000E+00 -9.785250E-01 -9.785250E-01  9.785250E-01  9.785250E-01
     9 -1.160832E+00 -1.424189E+00  0.000000E+00 -9.714927E-01 -9.714927E-01  9.714927E-01  9.714927E-01
    10 -1.088280E+00 -1.466077E+00  0.000000E+00 -9.631837E-01 -9.631837E-01  9.631837E-01  9.631837E-01
    11 -1.015728E+00 -1.507964E+00  0.000000E+00 -9.535755E-01 -9.535755E-01  9.535755E-01  9.535755E-01
    12 -9.431757E-01 -1.549852E+00  0.000000E+00 -9.426957E-01 -9.426957E-01  9.426957E-01  9.426957E-01
    13 -8.706237E-01 -1.591740E+00  0.000000E+00 -9.306291E-01 -9.306291E-01  9.306291E-01  9.306291E-01
    14 -7.980717E-01 -1.633628E+00  0.000000E+00 -9.175233E-01 -9.175233E-01  9.175233E-01  9.175233E-01
    15 -7.255197E-01 -1.675516E+00  0.000000E+00 -9.035910E-01 -9.035910E-01  9.035910E-01  9.035910E-01
    16 -6.529678E-01 -1.717404E+00  0.000000E+00 -8.891105E-01 -8.891105E-01  8.891105E-01  8.891105E-01
    17 -5.804158E-01 -1.759292E+00  0.000000E+00 -8.744219E-01 -8.744219E-01  8.744219E-01  8.744219E-01
    18 -5.078638E-01 -1.801180E+00  0.000000E+00 -8.599188E-01 -8.599188E-01  8.599188E-01  8.599188E-01
    19 -4.353118E-01 -1.843068E+00  0.000000E+00 -8.460362E-01 -8.460362E-01  8.460362E-01  8.460362E-01
    20 -3.627599E-01 -1.884956E+00  0.000000E+00 -8.332330E-01 -8.332330E-01  8.332330E-01  8.332330E-01
    21 -2.902079E-01 -1.926843E+00  0.000000E+00 -8.219690E-01 -8.219690E-01  8.219690E-01  8.219690E-01
    22 -2.176559E-01 -1.968731E+00  0.000000E+00 -8.126782E-01 -8.126782E-01  8.126782E-01  8.126782E-01
    23 -1.451039E-01 -2.010619E+00  0.000000E+00 -8.057403E-01 -8.057403E-01  8.057403E-01  8.057403E-01
    24 -7.255197E-02 -2.052507E+00  0.000000E+00 -8.014513E-01 -8.014513E-01  8.014513E-01  8.014513E-01
    25  0.000000E+00 -2.094395E+00  0.000000E+00 -8.000000E-01 -8.000000E-01  8.000000E-01  8.000000E-01
    26  7.255197E-02  2.052507E+00  0.000000E+00 -8.014513E-01 -8.014513E-01  8.014513E-01  8.014513E-01
    27  1.451039E-01  2.010619E+00  0.000000E+00 -8.057403E-01 -8.057403E-01  8.057403E-01  8.057403E-01
    28  2.176559E-01  1.968731E+00  0.000000E+00 -8.126782E-01 -8.126782E-01  8.126782E-01  8.126782E-01
    29  2.902079E-01  1.926843E+00  0.000000E+00 -8.219690E-01 -8.219690E-01  8.219690E-01  8.219690E-01
    30  3.627599E-01  1.884956E+00  0.000000E+00 -8.332330E-01 -8.332330E-01  8.332330E-01  8.332330E-01
    31  4.353118E-01  1.843068E+00  0.000000E+00 -8.460362E-01 -8.460362E-01  8.460362E-01  8.460362E-01
    32  5.078638E-01  1.801180E+00  0.000000E+00 -8.599188E-01 -8.599188E-01  8.599188E-01  8.599188E-01
    33  5.804158E-01  1.759292E+00  0.000000E+00 -8.744219E-01 -8.744219E-01  8.744219E-01  8.744219E-01
    34  6.529678E-01  1.717404E+00  0.000000E+00 -8.891105E-01 -8.891105E-01  8.891105E-01  8.891105E-01
    35  7.255197E-01  1.675516E+00  0.000000E+00 -9.035910E-01 -9.035910E-01  9.035910E-01  9.035910E-01
    36  7.980717E-01  1.633628E+00  0.000000E+00 -9.175233E-01 -9.175233E-01  9.175233E-01  9.175233E-01
    37  8.706237E-01  1.591740E+00  0.000000E+00 -9.306291E-01 -9.306291E-01  9.306291E-01  9.306291E-01
    38  9.431757E-01  1.549852E+00  0.000000E+00 -9.426957E-01 -9.426957E-01  9.426957E-01  9.426957E-01
    39  1.015728E+00  1.507964E+00  0.000000E+00 -9.535755E-01 -9.535755E-01  9.535755E-01  9.535755E-01
    40  1.088280E+00  1.466077E+00  0.000000E+00 -9.631837E-01 -9.631837E-01  9.631837E-01  9.631837E-01
    41  1.160832E+00  1.424189E+00  0.000000E+00 -9.714927E-01 -9.714927E-01  9.714927E-01  9.714927E-01
    42  1.233384E+00  1.382301E+00  0.000000E+00 -9.785250E-01 -9.785250E-01  9.785250E-01  9.785250E-01
    43  1.305936E+00  1.340413E+00  0.000000E+00 -9.843439E-01 -9.843439E-01  9.843439E-01  9.843439E-01
