#------------------------------------------------------------------------
# Program: Diag Quadratic
#          (c) Amal Medhi <amedhi@iisertvm.ac.in>
#------------------------------------------------------------------------
# job_73019_diag.x_20260323224243_amedhi@isha-2.local
# Lattice: HONEYCOMB3 (Size = 1x1x1, Sites/unitcell = 198, Boundary = 0-0-0)
# No of sites = 198
# Model: MKM
# lambda = 0.060000
# eta = 0.100000
# lambda_R = 0.000000
# t = 1.000000
# Results: WaveFunction
#------------------------------------------------------------------------
# wf_0:   psi(0,98,0)         cols: (6,7)
# wf_1:   psi(0,99,0)         cols: (8,9)
#------------------------------------------------------------------------
# basis   label   xcoord        ycoord        zcoord        Re[wf_1]      Im[wf_1]      Re[wf_2]      Im[wf_2]      
#------------------------------------------------------------------------
       0     0-0  0.000000E+00  0.000000E+00  0.000000E+00  9.117644E-09  0.000000E+00 -9.183798E-09  0.000000E+00
       1     1-0  0.000000E+00  1.000000E+00  0.000000E+00 -4.498113E-09  7.952556E-09 -4.465712E-09 -8.003426E-09
       2     2-0  8.660254E-01 -1.500000E+00  0.000000E+00 -1.856680E-08 -2.671047E-08  1.866095E-08 -2.651807E-08
       3     3-0  8.660254E-01 -5.000000E-01  0.000000E+00  4.790194E-08 -2.893729E-08  4.755689E-08  2.907451E-08
       4     4-0  1.732051E+00 -3.000000E+00  0.000000E+00  1.163629E-07  1.984082E-07 -1.169059E-07  1.969790E-07
       5     5-0  1.732051E+00 -2.000000E+00  0.000000E+00 -3.474690E-07  2.024223E-07 -3.449661E-07 -2.033634E-07
       6     6-0  2.598076E+00 -4.500000E+00  0.000000E+00 -8.276167E-07 -1.422203E-06  8.314620E-07 -1.411958E-06
       7     7-0  2.598076E+00 -3.500000E+00  0.000000E+00  2.527165E-06 -1.470250E-06  2.508962E-06  1.477080E-06
       8     8-0  3.464102E+00 -6.000000E+00  0.000000E+00  6.005649E-06  1.032322E-05 -6.033548E-06  1.024886E-05
       9     9-0  3.464102E+00 -5.000000E+00  0.000000E+00 -1.857549E-05  1.080641E-05 -1.844169E-05 -1.085661E-05
      10    10-0  4.330127E+00 -7.500000E+00  0.000000E+00 -4.360374E-05 -7.495195E-05  4.380630E-05 -7.441205E-05
      11    11-0  4.330127E+00 -6.500000E+00  0.000000E+00  1.387145E-04 -8.069798E-05  1.377153E-04  8.107286E-05
      12    12-0  5.196152E+00 -9.000000E+00  0.000000E+00  3.319539E-04  5.706070E-04 -3.334960E-04  5.664968E-04
      13    13-0  5.196152E+00 -8.000000E+00  0.000000E+00 -1.038649E-03  6.042400E-04 -1.031167E-03 -6.070470E-04
